QUESTION,ANSWER_CHOICE,Q_UNDERGOER,A_UNDERGOER,UNDERGOER_SCORE,Q_ENABLER,A_ENABLER,ENABLER_SCORE,Q_TRIGGER,A_TRIGGER,TRIGGER_SCORE,Q_RESULT,A_RESULT,RESULT_SCORE,Q_UNDERSPECIFIED,A_UNDERSPECIFIED,UNDERSPECIFIED_SCORE,CORRECT_ANSWER,PREDICTED_ANSWER,PREDICTION
How does your body acquire the oxygen the cells in your body need to function?,absorption,body,a substance | a node | a primary structure,0.8922,need,"unavoidable parasitic reflections | in the light wave | the body as the food molecules pass through a layer of cells and into the bodies tissues | defect levels inside the band gap | vitamin d | eating clay or whether iron deficiency prompts | hydrogen | the absorption of the light and conversion to heat by molecules in the glass | in contact with media such ss molecular sieves | total hydrolysis | the levels of competing minerals and parathyroid hormone levels | another absorber located along the line of sight to the quasar , which is usually extragalactic | the | your body trying to compensate for the lack of red blood cells by absorbing more iron to try to make | a chemical process in which the desiccant un - dergoes a chemical change | gas bubble oscillations | internal | which | indirect intraband optical | gastric acidity , which has been mentioned as an indispensable factor in the | place before re-emission takes place , that is during the lifetime of the excited molecular state | up the energy of a photon of light , thereby reducing | in the emotional energy of another person | atoms and molecules and cause them to vibrate | across the lining of the intestine and into the blood stream | up at a cellular level to receive the nutrients from the higher planes of reality | discrete , compact clouds | the activity of the villi | interaction of the propagating electromagnetic radiation with the magnetic dipole moment of molecular oxygen and the | im - pinging frequency and size of crystals -lsb- 32 -rsb- | the position of the soot particle within the coating -lrb- fuller et | intestinal diaorders | the presence of the - oh atomic bond , that is , the presence of water . | the skin from topical drug applica - tion | through or enter a bulky material | or when the bone marrow is under stress to produce new red | bending | the presence of food in the intestine | intrinsic factor | the excitation of void",1.0000,function,removing | possibility | low | background | protecting | incorporating | performance | total | transport | movement,0.0000,,"errors to occur in , for example , sample-and-hold circuits and a-d converters . | the spectrum of emitted light to have '' `` missing pieces '' '' known as absorption bands . '' | understand the light emission properties of these materials | transitions that occur between elec - tronic energy levels of valence electrons , that is , orbitals of lower energy are excited to orbitals ... | the m lines to broaden , leading to larger measurement errors , as is seen from the broadened error bars in fig . | the recorded line | reduce foot , leg and lower back fatigue | a varying gas rate throughout the tower . | the unabsorbed line intensity to be more than two orders of magnitude higher with the ew -lrb- relative to the bright high nh ... | the spectrum to darken over a small range of wavelengths -lrb- several tenths of a nanometer -rrb- .",,,the site of administration |systemic circulation or site of measurement | gi tract to blood compartment |blood compartment,,breathing,absorption,FALSE
How does your body acquire the oxygen the cells in your body need to function?,breathing,body,,,need,"it | in a relaxed , good mood | your nose | sinus congestion or mucus buildup in the airways | assistance | temperature redistribution , which causes inert gas and helium to mix at an ; 80:20 ratio in the reactor and ... | in cooperation with how we are built | brain stem atrophy found in these patients -lrb- 7-11 -rrb- | that | pooled secretions | fluid | by increasing expiratory effort , or increasing the squeeze | small nasal passages and high incidence of respiratory infections | dust | blocked nasal passages | temporal break | the weakening of associated muscles | proper filtration | sleep apnea syndrome which leaves victims unaware of the source of their daytime sleepiness | in a terrestrial environment or have their bodies submerged in water but their nares at the surface | the process | a lack of breathing | sleeping at altitudes higher than about 15,000 feet",1.0000,function,bridge | technique | goal | feature,0.8423,,increase circulation | constriction and what i call '' `` hyper vigilance '' '' | get enough oxygen for the blood and free it from carbon dioxide | provide a way for the body to receive fresh oxygen in exchange for the carbon dioxide and other waste gases that the cells of the | provide for the uptake of oxygen from the air and elimination of carbon dioxide | helps to | reverse this situation | draw in air and allow for an exchange of oxygen and carbon dioxide in the blood | release tension | oxygenate your blood | keep your air sacs open longer so that air is not trapped in your lungs | slow things down | oxygenate your blood so it can be pumped around your | control your breathing | achieve a better sympatho-vagal balance | get enough oxygen for the,,,,,breathing,absorption,FALSE
How does your body acquire the oxygen the cells in your body need to function?,osmosis,body,a salt concentration | a solvent,0.0000,need,"a filter that traps the solute on one side | from a dilute saline solution through a membrane into a higher concentrated saline solution | a macroscopic solution in the composite | a semi-permeable membrane -lrb- such as a root cell wall | into your plumbing system | a chemical reaction between water and unreacted substances remaining in the manufactured hull | numerous researches | from a dilute saline solution through a membrane into a higher concentrated saline | the free energy of the solvent molecule in two regions | across the membrane against the concentration gradient , from lower concentration to higher concentration | by a differentially permeable membrane | certain kinds of membranes | an electrical | a semi-permeable membrane that allows water to run through while capturing most dissolved substances in the | a high concentration and a low concentration | by a semipermeable membrane | electromagnetic forces -lrb- static to be precise -rrb- and these forces | water | a semi-permeable material -lrb- eg | a membrane | a filter that traps the impurities like -lrb- bacteria , virus , organic & inorganic impurities and other | the colon | application of electrical potential gradient across the membrane | water seeping | a semi permeable membrane | lengthwise through | from a dilute saline solution in one | a membrane wall | a membrane from a concentrated solution to a dilute solution to produce filtered | across the membrane | columbic forces which are induced by the applied electric field in the soil | a semi-permeable membrane",0.0001,function,forcing | diffuses | premise,0.0000,,"water to have a net flow into the cell , thus , resulting in the swelling and ... | intercepts in | separate most impurities | lower the tds content of water -lrb- such as brackish water | lower the tds content of water | the fish ... | a solution through a membrane | remove some chemicals and heavy metals from water | increase the dewatering and reduce the process period | cartilage to expand and elongate in developing embryos and during childhood .",,,less saline water |more saline water | a place of low salinity |a place of high salinity | a hypotonic solution to a hypertonic solution in order to balance the tonicity out |a hypertonic solution in order to balance the tonicity out | high to low concentration |low concentration | an area of higher concentration to an area of lower concentration across a cell membrane |an area of lower concentration across a cell membrane,,breathing,absorption,FALSE
"A period when an animal goes into a long, deep sleep is called",hibernation,animal,low power mode | the content of your computer 's,0.0000,,"a red apple | limited blood supply | a dormant state of sleep , during which they cool their bodies and reduce their heart rate significantly | high myoglobin level | storage of cells in peripheral lymphoid organs but not in spleen , liver | a drop in food supply | chronic critical ischemia leading to a slow partial recovery at 2 to 6 weeks after reperfusion .5 in contrast | a down regulation of myocardial function | stenosis severe enough to reduce blood flow at rest | their body temperature to nearly match their surroundings | cold | an increase in the separation then the system is continuously returning to the initial separation by means of magnetic braking -lrb- or | this fix",,period,saving | characteristic | better | using | reduced | procedure,0.0000,deep,bsod 0x9f and verifier.exe causes bsod 0xc4 | conserve energy during winter | lower metabolism | problems with windows and esxi by valarking ... | determine suitable candidates for surgery that can provide improved ejection fraction and other measures of left ventricular | slow down all of the body 's functions in order to | no lasting brain injury and hibernating animals show relatively ... | the animals body temperature and metabolism to slow down and adjust to its surroundings while winter sleepers | avoid the need to completely reboot the windows operating system and to reduce power consumption while | save battery life | maintain the immune system,0.0010,,,,hibernation,migration,FALSE
"A period when an animal goes into a long, deep sleep is called",migration,animal,"a new database version -lrb- such as oracle9i -rrb- | a copy of data | a virtual machine | a microsoft windows server 2003 operating system and internet information services -lrb- iis -rrb- 6.0 on a server and then | a country or region | a virtual server | data between storage types , formats , or computer systems | a user mailbox | data , applications or other business elements from an organization 's onsite computers | a vm | a database application from a source | a previous implementation of sql server | data | a specific amount of money | a vm 's storage | a database application from a source dbs to a target dbs",0.0000,,"geographic differences in the supply and demand for labour | the different innervations of the layers | the conditions and requirements set by a host state other than his/her own to enter , stay or ... | varying the choice of repairs to a stable | a lack of development | in place in the prostate gland and moves to another part of the body | in | global processes that supersede the nation-state and in turn generate a global civil society that threatens the political | replacing the reflector-dependent factor formula | lack of economic development in migrants ' | all vms instead of one -lrb- in the sequential case -rrb- | distress factors | with a disk of gas or planetesimals , resulting in the alteration of the satellite 's orbital | from his/her current household to join another household or form a new household in | different reasons and aspirations | geographical differences in the supply and demand for | complex interaction of push | coupling remelting/solidification | across | the electronic wind force experienced by the metallic | the nature of the dominant partisan environment .16 | what he calls the tyranny of an economic system centered on the god | up to the epipelagic zone at night and return to the mesopelagic zone of the oceans or to the hypolimnion zone of | lateral velocity variations | the movement of dye particles | global processes that supersede the nation-state and generates a global civil society that threatens the political monopoly exercised | several push factors in the place of origin | in the space it currently occupies | wearing the wrong bra size | one of two reasons : a computational resource has become too heavily loaded and there are other free resources , which can be | a combination of factors | from one environment to another | negatively compared to possible destinations | the conditions and requirements set by a state other than his or her own to enter , stay or exercise | nomic well-being | violence | from one trap to | ` pull ' or ` push ' factors or a combination of both | interactions with the relatively thick gaseous disc -lrb- the majority of it will never become part of any | place between | urban migration | socioeconomic factor | in their twen - ties as they finish",,period,impact | right | creating | relocating | investing | transferring | mapping | surface | installing | second | moving | entering | exporting | world | stirring | making,0.0069,deep,"no lateral redistribution of energy in a region of near-zero velocity | make it possible for states | transfer income from those that immigration helps to those that it hurts | in this area of guatemala | dissipate local shocks | provide better assistance to those in need | showed that scarcity of fertile land in the upper west region and the availability of fertile land in the brong . | transfer income from those that immigration helps to those that it hurts -lrb- hanson , 2010 -rrb- | secure your past ttcn-2 investments | a loss of motile cilia in talpid -lrb- 3 -rrb- ... | average wage decline of $ 1,700 . | distill the things that are truly worth the effort , to become aware of our own patterns and habits , and to separate the signal from the | avoid starvation | understand in and out flow of migration in a state | remove artifacts in cigs | a number of problems for the | shed light on tajik labor migrants from an anthropological perspective | exposure of the pipeline in the dashed areas . | streamline and centralise your collection | reconstruct the reflectivity map of the earth from the seismic data recorded at the surface | a loss of motile cilia in talpid . | correct this incongruity between rights and protections | is to ready the checkpoint area for the next checkpoint , while losing neither the current version nor the checkpoint version of any page ... | , especially of the labour are multiple and extremely diversified , and the inventory and especially the analysis of this phenomenon ... | erode traditional boundaries between languages | problems for society",0.0004,,"the configured master machine |the configured backup machine | an older version of lms |a newer version of lms | the paper record |the | the as-is state |the to-be | one environment |a new one | one system |a new system where the source system and the target system have different serial | existing systems |new systems | one environment |another | one commcell |another | one system |another | one operating system platform |a different operating system platform | one domain |another | one host or storage location to another |another | a system or systems |a new environment | version 10 |version 11 conversion mode | one system |another , which",,hibernation,migration,FALSE
"A period when an animal goes into a long, deep sleep is called",camouflage,animal,the skin,0.0000,,without identification | egg color | a difference from the background model that,,period,tattooing | use,0.0000,deep,"break up a silhouette by blending a shape 's edges with its surroundings | break up the human outline | hide the object 's | the user to change its type based on the current terrain : normal type in buildings , paved/plain terrain or wi-fi/linked battles . | hide you | reduce the odds that someone will | any moving platoon to stop | defeat | persuade the enemy",0.0019,,,,hibernation,migration,FALSE
corroding metal,physical change,,,,,temperature changes of the water | creep of the membrane plastic | back to liquid | the bonds that solidify the wax | through a change that does n't alter its chemical nature,,corroding,emotion | dynamic | way,0.0000,,,,,,,chemical change,physical change,FALSE
corroding metal,chemical change,,,,,as a result of the change | themselves in | a change in the arrangement of the atoms involved so a different substance with different properties is produced | electrical energy applied from some external source | with oxygen | a cake that my family enjoys | shaking,,corroding,catalyst | basis,0.0000,,,,,,,chemical change,physical change,FALSE
What process produces sex cells?,mitosis,,,,,"in late pachytene or early diplotene | into two cells that have the same number of | that | maturation promoting factor -lrb- mpf -rrb- , which is formed autocatalytically by activation of a complex of p34cdc2 and ... | inactivation of the pol i-specific transcription initiation factor | it | phosphorylation | move - ments and factors | , for either growth or repair | a -rrb- the destruction of the protein kinase -lrb- cdk -rrb- | sac engagement | changes in the '' `` motive force | below a critical value | into two identical nuclei with the same number and type of chromosomes , followed by cytokinesis when the",,,rate | key,,sex cells,a cell separation defect . | the cell to undergo death by mitotic catastrophe . | have a cell division which allows the cell to reproduce | distribute chromosomes that have been duplicated in s phase to opposite ends of the cell before cytokinesis -lrb- fig | division abnormalities .,0.5110,,,,meiosis,meiosis,TRUE
What process produces sex cells?,splitting,,a congested cell | the salts of carboxylic acids | the radio coverage of a cell site in a wireless telephone system into two or more new cell sites | the video | an iden - tifier into its constituent terms | a volume | an element between the plies of a twisted cord,,,"the rotational symmetry of local optical axes | debonding | the possibility of | energy | anisotropy within the earth | so this requirement | hybridization of adsorbate | genetic factors and other factors | back scattering from a rough layer | fluid-filled crustal microcracks and macrofractures aligned in the n-s direction | -lrb- split -rrb- during the entire respiratory cycle | horizontal tensile stresses arising from the different stiffnesses of the concrete block , grout | high carbon dioxide pressure or by weakening of the body by proteolysis as measured by formal titration | valleys , which results in the observed transport gap | multiple nuclei | a near-optimal surface corrugation and a large atomic spin-orbit | the ink in the contact region | which | microcracks rather than macrocracks | the three chemical shift equivalent protons on the adjacent methyl group | that | quartetquartet and doubletdoublet mixing as well as quartetdoublet interactions | sun/warmth/freezing cycles | fibrebridging due to skipping of the splitting plane | focused melt along the margin , where strain is highest | urease | base | stress-aligned structure | an anisotropic upper mantle | chlorine | sharp-tipped fasteners being driven through the lumber | more than | climatic conditions | the density difference between proton and neutron",,,breaking | recovery | dividing | taking | practice | general | decomposing | range | subdividing | result | separation | act,,sex cells,"each of the donor spouse and the consenting spouse to be treated as the transferor of one-half the gift for gst tax purposes . | helps to even out the foam between the two beverages | conserve bandwidth during broadcasts | additional strong signals in the recorded wavefield | cut down congestion a lot too | reuse it | extremes in how the self , the partner , and the relationship itself are subjectively experi - enced , what is idealized one minute may be ... | changes in the substrate level s , and that e conditions this splitting | obtain successful yu | escape from unbearable situations | take higher order nonlinearities of the measurement equation into account | control cracking | massive confusion in family and friends | separate the two basic problems | increased handoff - | resolve it | comparable splittings in the higher vibronic bands due to | reduce the call blocking probability | manage two kinds of ambivalence | more nodes in the model and therefore also more theorem prover calls .",0.0004,,an existing hive,,meiosis,meiosis,TRUE
What process produces sex cells?,meiosis,,,,,ime1 transcription | the -lsb- -rsb- prion | the special environment provided by the sertoli cells in the adluminal compartment | alterations in several | dna replication | ume6 | limk | which | the drop in the intercellular communication | an ortholog of dmc1,,,loss | behavior,,sex cells,"prepare a cell that will be capable of sexual reproduction : able to combine with another haploid cell to make a new organism | micronuclei to form in gfp-tailswap pollen . | gvbd and formation of a central meiotic spindle which migrates towards the ... | both self-silencing and transsilencing of all dna homologous to it , whether | avoid de - leterious effects -lrb- king 1990 -rrb- | male sterility and , hence , a serious reduction in grain set -lrb- 3 , 10 -rrb- . | aneuploidy and embryo death in mice . | a transient block to completion of the meiosis i division and suppresses the inability of cdc28 '' '' strains to execute ... '' | infertility in humans and rodents , suggesting that removal of dna damages is an essential function of ... | understand the mechanisms behind many genetic disorders and cancer",1.0000,,,,meiosis,meiosis,TRUE
"Energy from the sun reaches earth by <span class=""blank""> </span>. ",convection,Energy,,,,"one of two possibilities | wind that creates an air flow over the asphalt surface | density differences | convection | the movement of air or water molecules | triggering of potential instability | a fluid -lrb- air , water , any fluid -rrb- | the reduction in density caused by more h2o -lrb- g -rrb- | axial density differences | heated more than its surroundings , leading to | al alloy pin displacement | macroscopic flow | the heated fluid | density variations due to compositional differences : dense material sinks and light material rises | buoyancy forces due to density differences caused by temperature variations in the fluid | the movement of air or water molecules across the skin | buoyancy forces due to dens ity differences caused by temperature variations in the fluid | temperature differences between the indoor glass and the outdoor glass of the ig unit | to the top of a pot and gives off energy | by the movement of liquids or gases | heat | the reaction exothermicity and by the density change | lifting owing to dynamical | through a gas or liquid by the hotter material moving into a cooler area | local buoyancy differences | dynamical convergence lines -lsb- 2 -rsb- , orographic uplift , or weather fronts | the change in density of the fluid | wind , which creates pressure gradients in | cylinder oscillation , the natural convection | to speed up the process of convection | gravity and differences of solution den - sity",,reaches,impact | characteristic | understanding | boundary | difference | parameter | problem,0.0000,,"cold air that is in immediate contact with the skin to be warmed . | circulate hot air for even cooking | explain how the convection responds to the | the motions of earth 's tectonic plates . | nucleate directly in the melt and grow spheroidally to a large scale from the convective melt -lsb- 4-6 -rsb- | convert thermal energy gained from neutrino heating into kinetic energy , improving the overall | locally big differences in precipitation intensities | alleviate this problem | the small differences observed . | distinguish between tensors -lrb- more than 2-d -rrb- and matrices -lrb- exactly 2-d tensors -rrb- | elevate evaporating mass flux | produce the air currents that move ocean | feedbacks of different convective cloud clusters to the large-scale environment | deformation of the earth 's surface | mix the lower part of the atmosphere | homogenize the cloud-containing layer | improve the total heat transfer rate | perturbations in earth 's density distribution at every other spherical harmonic degree and order . | a red edge by benignly neutralizing the radiative | it , which is one of the three types of heat . | the westerlies -lrb- by fluid dynamics i 'm not | increase its vapor content | ensure that the transport of species is governed by diffusion alone",,,one location |the next,,radiation,radiation,TRUE
"Energy from the sun reaches earth by <span class=""blank""> </span>. ",radiation,Energy,a common ancestor | energy | one species | a single ancestral species,1.0000,,"at the height of \ -lrb- \ lambda _ 0 / 4 \ sqrt -lcb- \ varepsilon _ r -rcb- \ -rrb- from the | concurrently | , ingested or otherwise enters into the bloodstream | an excess of neutrons in the nucleus | the presence of oxygen in tumors | it | a careful analysis of stopping power data for different tissues | 12 beam bunches which are extracted from the ags | ionizing radiation | clouds and dust in the atmosphere and solar elevation | surface-cover properties , surface orientation , and sun position | in the sky in the middle of the day between 10am and 2pm or 11am and 3pm during daylight | discharge of pantograph-offline on emu | by a source and then travels through a medium , such as air | or received -lrb- dialing and ringing -rrb- | human-induced production of | a flip of the electron | place in the target molecule itself | transitions between levels , which are formed in channeling in the fields of atomic planes | recombination processes of carriers captured at very shallow traps with an ionization energy of about | to a high dose for a short period and/or low doses over an extended period of time | small dimensions of the ground plane | in the form of infrared waves | formation of | minute particles of natural uranium in granite | density and size of the particle | the amount of previous radiation | between two objects that are not touching | - radiation is caused by the generation of reactive oxygen species -lrb- ros -rrb- , such as oxygen radicals , triggering a cascade of free radical-mediated chain | illumination of the wind | from one object to a second object through the air without direct contact by the two objects | fourier components of the charge/current distribution that are lightlike -lrb- i.e. | a medium or space | direct handling of highly radioactive sources | at the intersection of the floor and a wall | single strand break-induced relaxation of a whole replicon cluster -lrb- 1000 kb -rrb- | by matter | a medium or introduction particleswaves ionising | surgical removal of necrotic lesions | into the environment | latitude , altitude , time of year/day , and atmospheric conditions such as clouds | the disturbance of an electromagnetic field | a combination of | space | rearrangement of the field of electrons which happens when electrons are accelerated | radiative transitions of the charged particle | cloud amount , phase , particle size , and vertical distributions with height",,reaches,definition | substance | evolves | amount | sending off | primary | range | limit | evolved | measure | following | emitting | adapted | unit,0.0022,,"the formation of free radicals , which results in genetic and other cell damage , resulting in increased rates of illness , ... | cause cancer by damaging the genes in body cells and causing gene mutations | kill off any rogue cancer cells that might be left beyond the surgical margins | many descendants | reduce the chance that the cancer will recur | two or more species | ionizations of : atoms which may ... | a persistent induction of reactive oxygen species and a delayed reinduction of tp53 in normal human ... | release of brain antigens with subsequent antibody formation and immune destruction of the brain | destroy cancer cells and prevent them from multiplying or spreading | cancer of the cervix or prostate | destroy remaining cancer cells | an upregulation of survivin in human keratinocytes and mouse skin . | destroy any potential remaining dcis that might still be in the breast | heal cancer | a complex of symptoms , including nausea and blood changes , known as radiation sickness . | a. | a depression of pho - tosynthesis associated with changes ... | keep cancer from coming back in the same breast where it first occurred , by killing any tumor cells that may have | treat my remaining lower neck lymph | repair tissue that is damaged as a result of diabetes mellitus , reconstructive surgeries or other chronic and acute damage | protect the normal cells from damage | functioning prior to medication , brain surgery , and radiation | ionization , which is what occurs when a neutral atom gains or loses electrons .",,,source |the target | one body |another,,radiation,radiation,TRUE
"Energy from the sun reaches earth by <span class=""blank""> </span>. ",reflection,Energy,"the taken-for-granted assumptions the individual makes about self , others and the organisation | a cumulative , multiselved , multi-voiced identity , which takes place between and among composing events | a class for meta-information - information about its fields and methods , calling methods , accessing fields | the structure of a program at runtime | a driver | a signal | something in more detail",0.0006,,"a drift which extends in a direction perpendicular to the borehole so that most of the energy is reflected from the part of the tunnel | feedback | light rays which are directly reflected from the surface body | the test setup | a corresponding , real-valued , external angle of | a rough surface , which scatters the energy equally in all | to the curved lattice within the bulk of the crystal | , which means there is no light which is exiting from the medium of higher impedance | the speed of light slowing down as it enters a transparent material | yfeo3 foreign phase which appears as an intermediate product in garnet formation | the learner in order to better understand where to focus assistance | a surface that is large relative to the wavelength of the signal | large-scale waves that are tilted in such a way that an electromagnetic wave will bounce on it according to the law of reflection | a wave which circulates in the opposite direction as the input wave | an infrared light source located in front of the observer | the interface between two dissimilar media , so that all of or at least part of the wave front returns into the | a community | curiosity and experience | at a shorter wavelength than the adddrop reflection | a bouncing off of a barrier | to accept that we might not have the truth | increased surface roughness , when the asperity on the surface is equal to or larger than the incident wavelength of light | arterial -lrb- and particularly aortic -rrb- stiffening , which increases pulse wave velocity -lsb- 5 -rsb- | the following : | a change in the refraction index | through a medium | the moving water | an angle , c , such that it does not enter the adjacent medium but travels along the | superposition of propagation delays | aerosols , which are assumed to follow the wind passively | pleasure or pain | the angle at which the light is hitting the glass | a nonsense -lrb- greater than 1 -rrb- value for sin q2 | the shaula star , which lies at the tip tail of the scorpion | warm and cold air which bend light rays coming from distant objects | penetration of the decaying field of the evanescent wave inside the barrier | to travel in one direction and the angle of reflection is equal to the angle | to understand and digest their inner thoughts , feelings and actions in order to better understand and transform their | in one 's self-construal",,reaches,considering | angle | inspecting | power | developing | uncovering | bouncing | turned | installing | other | key | line | assessment | fact,0.0005,,"bring to attention what is being overturnedthat is , the traditions that need to be renewed and carried | establish a starting point for development that is identified by school staff | explain how , on kant 's account , we are | help youth evaluate what they have just experienced , consider their feelings about the experience , and connect what they are | add feedback | generate learningnot simply a display of what was learned | translate what we do during a session to the outside world | reflected wave energy to be redistributed among all the possible modes , which reduces the reflection ... | develop a greater understanding of both oneself and the situation in order to use the experience to inform and improve future | light to reflect inside a solid glass tube . | addition to active learning techniques | gain a deeper awareness that will lead to an action -lrb- merri - am , caffarella , & baumgartner , 2007 -rrb- that is benefi - cial for individuals | untangle a problem , or to make moresense of a puzzling situation | solve a problem | ensure that we remain focused on safety and the best possible outcomes for children and young people | understand how we got here | the light to be reflected back to where it originated . | change things or do nothing | transform a situation in which there is experienced obscurity , doubt , conflict , disturbance of some sort , | an overload which can take the ... | determine what works and what needs to be changed for future behaviours -lrb- zimmerman , | avoid making | help students develop a deeper understanding of themselves , others , and the world | realize how personal feelings affect the ability to help children make connections with nature | identify what are the coming major trends in e-learning and education generally that will make an impact upon education in | spot patterns of what works well and what needs to be modified | generate learning | identify how the contextualizing of the episode at different levels can make dissonance | a problem for light emitting diodes . | light to reflect directly back to its source , independent of its incident angle . | some light to be lost and each new penny appears slightly dimmer . | keep people focused on the big picture | act as a bridge to generalisation",,,"an experience to ponder , carefully and | an experience to ponder , carefully and persistently , it 's meaning to the self through the development of inferences | an experience to ponder , carefully and persistently , its meaning |daudelin -lrb- 1996 -rrb- | experience | an |learning | an experience to ponder , carefully and persistently , | an experience to ponder | an experience to ponder , care - fully and ...",,radiation,radiation,TRUE
"Energy from the sun reaches earth by <span class=""blank""> </span>. ",friction,Energy,,,,"2 static coefficient of friction | the texture of ice grains in a slab and in surrounding | adhesive forces between the surfaces in sliding contact and its mechanical stiffness | surface roughness | at different velocities | forces between two things | an increase in the layer thickness | each other | loading at high stresses when the polymer chains are dragged past one | into contact with the outer surface of the rider and the bicycle | the high contact force between the sliding tip and the sapphire surface | one surface moving over another | ploughing and adhesion between contacting surface asperities | the molecular attraction or adhesion of the materials | relative motion between the workpiece material and the material of tools | the roughness of the | breakdown of the oil film | across a sheet of paper | the increase in the frictional force with the sliding distance | the deformation of the two contacting surfaces | vertical force and relative condition of contact surfaces including roughness and their types of material | , but not so lubricated that there is no direct friction between two surfaces | an interaction of both adhesion on the one hand and asperity deformation and slope on the | penalty force between the two collision models | this | together | ploughing -lrb- due to surface roughness -rrb- and adhesion -lrb- due to | hysteresis and adhesion | relative motion between two surfaces",,reaches,engine | magic | flow | test | second | following,0.0001,,"understand the mechanism of chip formation and other | greater inward turning of the wind and thus greater inflow into the bands and greater convection | irritation and creates an inflammatory response in the soft tissues between the itb and the lateral femoral condyle -lrb- 6a -rrb- . | understand the mechanism of chip formation and other complex | a downward force that increases the load on shaft piles and reduces the bearing capacity of piles in soft soils . | physical failure of the prusik cord , rather than the rope | undesired force response estimated by conventional disturbance observer . | the lower part of the circular orbit of the wave to slow down relative to the upper part of the wave exposed to the air . | keep vehicles on the road when brakes are applied | a loss of mechanical energy -lrb- specifically , kinetic energy , or in some cases potential energy that could have been ... | keep vehicles on | gear tooth bending | explain how these assumptions relate to the realities of mobility and displacement in south africa | a force on a surface which is in the opposite direction to its motion . | a greater amount of work over a longer distance | a discrepancy of over 45 between the base and tip angles in certain phantom materials .",,,,,radiation,radiation,TRUE
"When closely related living things are bred together, it is called",adaptation,things,a program to reduce mismatches between its characteristics and those of the new context in which it is to be implemented or ... | your metabolism | your message | actions,0.0003,,"economic status , technology , health , education , information , skills , infrastructure , access to assets , and management | their realization in accordance with | under - standing within a given framework , a given set of organizational norms | from their conditions | some other factors and instant dis | the toll of creeping normalcy and the constant | an explicit client re - quest which can be an | work activities | a result the success of adaptation depends on factors such as economic status , technology , health , education , information skills , infrastructure , access to ... | contacts and interactions between different cultures | , even for a short period of time | within 48 hours however | selection of host-dependent as well as host-independent mutations that result in heightened exploitation of the | natural and artificial selection in the captive environment | desensitization of phototransduction in rods | for temporal and spatial factors , when policies contradict one another and create | by means other than | how to use the technological tools available to achieve their communication goals | genetic accommodation of a physiological life-history shift originally only expressed by plasticity | an anti-predator adaptation | introducing a 3-d representation of the stimuli | how to use the technological tools available and achieve their communication aims despite technological | the activity fatigue of the neuron | part of what has been learnt quickly being forgotten | interaction with the environment | recalibration of sensory-motor-transform signals | the loose fitting appliance.loose fitting appliance | risk | that | co-operation and adaptability of person with organization | through the adaptive element onto or off the storage capacitor | stress | introducing a 3-d repre - sentation of the stimuli | low temperatures | : the morphological changes related to ontogeny -lrb- lovett and felder , ... | viewing a high contrast bar pattern and evidence of reduced sensitivity | helpful to the continuation of the species in a changed environment | overtraining it is usually too late to effectively reverse the condition of the athlete | synaptic depression and slow afterhyperpolarization | with a variety of situ | what they are doing at the lower level based on their talk | search of ways to study and understand unconscious and | ampk | chemical reactions | light which strikes those parts of the retina that are tested | feedback control of snf1 protein and its phosphorylation | to the adapted | depletion of releasable neurotransmitter | bentazone | maximal functional loading | exposure to an adapting light bright enough to bleach a substantial number of visual pigment molecules , | ileum-derived glucagon-like peptide-2 | to integrate transition into her life | a change in movement based on a perceived sensory error -lrb- bastian , 2008 -rrb- | thestructures",,bred,adapting | altering | taking | second | ensuring | shifting | adaptation | key | answer | special,0.0000,,"fit sensory systems to different environments | identify how private engagement in adaptation can be maximized at minimal cost | keep the retinal response to | the decline of . | the input to occur at different levels on the nonlinear curve . | explain why happiness is often so hard to come by | enable an hta agency in one country -lrb- or region or setting -rrb- to make use of an hta report produced elsewhere | all primary lamellar chloride cells to become highly activated and , therefore , only one cell type , mature differentiated | rebalance the | maintain a high level of response sensitivity under different illuminations -lrb- or contrast -rrb- and stimulus conditions -lrb- contexts -rrb- | a shift in the location of minimal spectral saturation toward the spectral locus of the adapting light | demonstrate | enable an hta agency in one setting to make use of an hta report produced elsewhere , thus saving time and money | explain how individuals adapt to stressful , unexpected , and threatening situations | fit the needs of a new population , location , language , or mode , or any combination of these -lrb- -lsb- 6 -rsb- -lsb- 7 -rsb- -lsb- 10 -rsb- ; ... | guide to spatial adaptation | the eye to increase its sensitivity in the dark .",,,one medium |another | cone |rod | one application environment |another,,crossbreeding,adaptation,FALSE
