QUESTION,ANSWER_SENTENCE,Q_TEXT,A_TEXT,ENT_SCORE
corroding metal ,Physical changes occur when objects or substances undergo a change that does not change their chemical composition,metal,objects | substances,0.1330
corroding metal ,A chemical reaction is a process in which one or more substances are converted into other substances.,metal,one or more substances,0.0876
corroding metal ,"A change at the molecular, atomic or subcellular level in an organism.",metal,organism,0.0000
corroding metal ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances",metal,substance,0.2500
mixing lemonade powder into water ,"A change in the physical state of a molecule, object, wave or system.",mixing | into water,change,0.2148
mixing lemonade powder into water ,"A change at the molecular, atomic or subcellular level in an organism.",mixing | into water,change,0.2148
mixing lemonade powder into water ,"Chemical reactions can be either spontaneous, requiring no input of energy, or non-spontaneous, typically following the input of some type of energy, such as heat, light or electricity",mixing | into water,chemical reactions,0.0679
mixing lemonade powder into water ,"Chemical reactions are usually characterized by a chemical change, and they yield one or more products, which usually have properties different from the reactants",mixing | into water,chemical reactions | chemical change,0.0832
mixing lemonade powder into water ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances",mixing | into water,combines | synthesis | decomposes,0.0100
mixing lemonade powder into water ,A chemical reaction is a process in which one or more substances are converted into other substances.,mixing | into water,converted,0.0000
mixing lemonade powder into water ,A physical change involves a change in physical properties,mixing | into water,physical change,0.1011
mixing lemonade powder into water ,Physical changes occur when objects or substances undergo a change that does not change their chemical composition,mixing | into water,physical changes,0.1011
mixing lemonade powder into water ,"Physical changes are used to separate mixtures into their component compounds, but can not usually be used to separate compounds into chemical elements or simpler compounds.",mixing | into water,physical changes,0.1011
mixing lemonade powder into water ,"Physical changes are changes affecting the form of a chemical substance, but not its chemical composition.",mixing | into water,physical changes,0.1011
"To separate a mixture of paper clips and sand, Joe should use: ",the action of purifying a liquid by a process of heating and cooling.,mixture of paper clips and sand,liquid,0.0000
"To separate a mixture of paper clips and sand, Joe should use: ",Magnetic separation is a process in which magnetically susceptible material is extracted from a mixture using a magnetic force.,mixture of paper clips and sand,magnetically susceptible material,0.0349
"To separate a mixture of paper clips and sand, Joe should use: ","Decantation is a process for the separation of mixtures, by removing a layer of liquid, generally one from which a precipitate has settled.",mixture of paper clips and sand,mixtures,1.0000
squeezing oranges to make orange juice ,A physical change involves a change in physical properties,orange juice,change in physical properties,0.0263
squeezing oranges to make orange juice ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances",orange juice,new substance | two or more different substances,0.3802
squeezing oranges to make orange juice ,A chemical reaction is a process in which one or more substances are converted into other substances.,orange juice,other substances,1.2108
squeezing oranges to make orange juice ,"Physical changes are used to separate mixtures into their component compounds, but can not usually be used to separate compounds into chemical elements or simpler compounds.",orange juice,separate mixtures,0.0000
squeezing oranges to make orange juice ,"Physical changes are changes affecting the form of a chemical substance, but not its chemical composition.",oranges,chemical substance,0.0031
squeezing oranges to make orange juice ,"A change in the physical state of a molecule, object, wave or system.",oranges,molecule | object | wave | system,0.0690
squeezing oranges to make orange juice ,Physical changes occur when objects or substances undergo a change that does not change their chemical composition,oranges,objects | substances,0.1357
squeezing oranges to make orange juice ,A chemical reaction is a process in which one or more substances are converted into other substances.,oranges,one or more substances,0.0021
squeezing oranges to make orange juice ,"A change at the molecular, atomic or subcellular level in an organism.",oranges,organism,0.0237
squeezing oranges to make orange juice ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances",oranges,substance,0.0059
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The change of a liquid into a vapor at a temperature below the boiling point.,process in the water cycle,change,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The change of state from water to water vapor is called evaporation.,process in the water cycle,change of state | evaporation,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The energy from the sun heated the water and caused it to evaporate - change from liquid water to water vapor.,process in the water cycle,change | evaporate,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. ""","The changing of a liquid into a gas, often under the influence of heat (as in the boiling of water).",process in the water cycle,changing,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Liquid water changing to water vapor is evaporation.,process in the water cycle,changing | evaporation,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,condensation is the process in which water vapor in the air is changed into liquid water.,process in the water cycle,condensation,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Water drops on the outside of a cold glass of water are condensed water.,process in the water cycle,condensed,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The water in a cloud comes from water vapor in the air that has condensed.,process in the water cycle,condensed,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The condensed water molecules form liquid water droplets.,process in the water cycle,condensed | form,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Water vapour condenses to liquid water.,process in the water cycle,condenses,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. ""","Essential oils evaporate readily and are easily damaged by light, extremes of temperature and prolonged exposure to oxygen in the air.",process in the water cycle,evaporate,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Surface water is evaporated from the earth by the energy of the sun.,process in the water cycle,evaporated,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The water evaporated back into water vapor in the air.,process in the water cycle,evaporated,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Water evaporates as water vapor into the air.,process in the water cycle,evaporates,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Clouds get their water from evaporation.,process in the water cycle,evaporation,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Water from the oceans enters the atmosphere through evaporation.,process in the water cycle,evaporation,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Evaporation and condensation are two processes through which matter changes from one state to another.,process in the water cycle,evaporation | changes,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. ""","In evaporation, matter changes from a liquid to a gas.",process in the water cycle,evaporation | changes,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Evaporation involves changing water from its liquid state to a gaseous state (vapor),process in the water cycle,evaporation | changing,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,evaporation - the process of extracting moisture,process in the water cycle,evaporation | extracting,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Evaporation is a type of vaporization of a liquid that occurs from the surface of a liquid into a gaseous phase that is not saturated with the evaporating substance.,process in the water cycle,evaporation | vaporization,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The liquid and solid water particles that fall from clouds and reach the ground are known as precipitation,process in the water cycle,fall | precipitation,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Different forms of precipitation include: Rain is liquid water falling from the sky.,process in the water cycle,falling,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. ""","falling products of condensation of water vapour in the atmosphere, as rain, snow, or hail.",process in the water cycle,falling,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,precipitation Water that falls to the Earth from the sky.,process in the water cycle,falls,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Precipitation is the term used to describe water (moisture) that falls from the sky.,process in the water cycle,falls | precipitation,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,precipitation is any product of the condensation of atmospheric water vapour that falls under gravity.,process in the water cycle,falls | precipitation,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Condensation is defined as the phase change from gas (vapor) to liquid.,process in the water cycle,phase change,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. ""","Also when the air cannot hold any more water, it precipitates.",process in the water cycle,precipitates,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The plant will then use the stored water in times or seasons of low precipitation.,process in the water cycle,precipitation,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,precipitation Water falling to the Earth.,process in the water cycle,precipitation | falling,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Rain is a form of precipitation in which water falls back to earth as a liquid.,process in the water cycle,precipitation | falls back,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Evaporation is the process of a substance in a liquid state changing to a gaseous state due to an increase in temperature and/or pressure.,process in the water cycle,process | changing | evaporation,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The process of liquid water changing into water vapor is called evaporation.,process in the water cycle,process | evaporation | changing,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Most of the available water is used in transpiration to pull nutrients into the plant.,process in the water cycle,transpiration,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. ""","During transpiration, the plant loses water.",process in the water cycle,transpiration,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Water and its Movement Through the Plant Roughly 90% of the water that enters a plant is lost via transpiration.,process in the water cycle,transpiration | movement,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The main driving force of water uptake and transport into a plant is transpiration of water from leaves.,process in the water cycle,transpiration | uptake,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Part of the water cycle that involves the loss of water from plants due to evaporation.,process in the water cycle,water cycle,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Condensation is defined as the phase change from gas (vapor) to liquid.,"rain, sleet, hail, and snow",gas,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Evaporation is a type of vaporization of a liquid that occurs from the surface of a liquid into a gaseous phase that is not saturated with the evaporating substance.,"rain, sleet, hail, and snow",liquid,0.6519
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The change of a liquid into a vapor at a temperature below the boiling point.,"rain, sleet, hail, and snow",liquid,0.6519
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. ""","The changing of a liquid into a gas, often under the influence of heat (as in the boiling of water).","rain, sleet, hail, and snow",liquid,0.6519
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Liquid water changing to water vapor is evaporation.,"rain, sleet, hail, and snow",liquid water,0.2248
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The energy from the sun heated the water and caused it to evaporate - change from liquid water to water vapor.,"rain, sleet, hail, and snow",liquid water,0.2248
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The process of liquid water changing into water vapor is called evaporation.,"rain, sleet, hail, and snow",liquid water,0.2248
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The liquid and solid water particles that fall from clouds and reach the ground are known as precipitation,"rain, sleet, hail, and snow",liquid | solid water,0.1455
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Evaporation and condensation are two processes through which matter changes from one state to another.,"rain, sleet, hail, and snow",matter,0.0083
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. ""","In evaporation, matter changes from a liquid to a gas.","rain, sleet, hail, and snow",matter | liquid,0.2201
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,evaporation - the process of extracting moisture,"rain, sleet, hail, and snow",moisture,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. ""","Essential oils evaporate readily and are easily damaged by light, extremes of temperature and prolonged exposure to oxygen in the air.","rain, sleet, hail, and snow",oils,0.0000
