,entailScore,sentence1,sentence2
189,0.1563,vapor, save nad + required for complete removal of aldehyde from the soybean protein by aldehyde dehydrogenase 
190,0.1563,vapor," create this country '' `` s many rivers , some of which are prone to flooding , and besides this "
191,0.1563,vapor, provide an improved initial condition for ensemble forecasting in which convection can develop in accordance with the observations 
192,0.1563,vapor, generate sliding in glacial lakebed terrace deposits
193,0.1563,liquid,"the protein to fall out of solution , at which time the interfering buffer can be removed and the protein resolubilized . "
194,0.1563,liquid, solve these problems 
195,0.1563,liquid," provide better tree health for the large energy demand during fertilization , cone enlargement , and seed ripening the following year "
196,0.1563,liquid, support many types of plants 
197,0.1563,liquid, predict the occurrences of 
198,0.1563,liquid, the glaciers to 
199,0.1563,liquid, save nad + required for complete removal of aldehyde from the soybean protein by aldehyde dehydrogenase 
200,0.1563,liquid," create this country '' `` s many rivers , some of which are prone to flooding , and besides this "
201,0.1563,liquid, provide an improved initial condition for ensemble forecasting in which convection can develop in accordance with the observations 
202,0.1563,liquid, generate sliding in glacial lakebed terrace deposits
203,0.1563,it cools,"the protein to fall out of solution , at which time the interfering buffer can be removed and the protein resolubilized . "
204,0.1563,it cools, solve these problems 
205,0.1563,it cools," provide better tree health for the large energy demand during fertilization , cone enlargement , and seed ripening the following year "
206,0.1563,it cools, support many types of plants 
207,0.1563,it cools, predict the occurrences of 
208,0.1563,it cools, the glaciers to 
209,0.1563,it cools, save nad + required for complete removal of aldehyde from the soybean protein by aldehyde dehydrogenase 
210,0.1563,it cools," create this country '' `` s many rivers , some of which are prone to flooding , and besides this "
211,0.1563,it cools, provide an improved initial condition for ensemble forecasting in which convection can develop in accordance with the observations 
212,0.1563,it cools, generate sliding in glacial lakebed terrace deposits
213,0.2593,vapor,more damage than inside condensation and not many people know about it . 
214,0.2593,vapor, alleviate this problem by shortening the effective length of the chromosome 
215,0.2593,vapor, make the spirit smooth 
216,0.2593,vapor, helps to ...
217,0.2593,liquid,more damage than inside condensation and not many people know about it . 
218,0.2593,liquid, alleviate this problem by shortening the effective length of the chromosome 
219,0.2593,liquid, make the spirit smooth 
220,0.2593,liquid, helps to ...
221,0.2593,it cools,more damage than inside condensation and not many people know about it . 
222,0.2593,it cools, alleviate this problem by shortening the effective length of the chromosome 
223,0.2593,it cools, make the spirit smooth 
224,0.2593,it cools, helps to ...
225,0.2782,vapor,"hazardous situations as it is easy to trip over kick-scooters and/or bicycles , or drive over them with a car . "
226,0.2782,vapor," difficult pouring : when improperly stored at ambient temperature , kegs of draught beer will warm quickly and become difficult to pour in ... "
227,0.2782,vapor, solve multiple problems 
228,0.2782,vapor," a format that can be used to support both data publication and analysis , including "
229,0.2782,vapor, fulfill these requirements by offering three copy services premium features 
230,0.2782,vapor, transcend these challenges 
231,0.2782,vapor, store your capsules easily 
232,0.2782,vapor, data corruption . 
233,0.2782,vapor, manage temporary supply chain disruptions and lng transit times 
234,0.2782,vapor, joint stiffening and swelling and complex skeletal deformities known as dysostosis multiplex . 
235,0.2782,vapor, protect it and makes retrieving it later much easier 
236,0.2782,vapor, a severe suppression in the voltage of the foam positive electrode . 
237,0.2782,vapor, obtain or raise loans by providing collateral security of the goods stored 
238,0.2782,vapor, address renewable energy intermittency 
239,0.2782,vapor, to the 
240,0.2782,vapor," organize hand tools , parts , power tools , etc. "
241,0.2782,vapor," maintain a satisfactory level of service as demand varies with the time of day , to ensure continued service during "
242,0.2782,vapor, address many of the performance issues associated with virtualized data centers 
243,0.2782,vapor, keep coins from degrading in quality or picking up marks or damage 
244,0.2782,vapor, ensure that a configuration item will not disappear or be damaged 
245,0.2782,vapor, ensure uninterrupted recording of mission-critical audio and video 
246,0.2782,vapor, preserve your boat 's finishes 
247,0.2782,vapor, achieve numerous benefits of server virtualization 
248,0.2782,vapor, preserve the quality and nutritional value of the foods you purchase 
249,0.2782,vapor, address this issue 
250,0.2782,vapor, put produces in a suitable environment to maintain the freshness and to extend the duration of its availability 
251,0.2782,vapor," serve as a reservoir to handle constant , sudden or unusually high demands for air/gas that can exceed the capacity of the "
252,0.2782,vapor, sedentism . 
253,0.2782,vapor, ensure a constant supply of needed goods any food or ingredient removed from its 
254,0.2782,vapor, minimize daytime noise pollution 
255,0.2782,vapor," helps to even out fluctuations in market supply , both from one season to the next and from one year to the next , by taking produce off the market in ... "
256,0.2782,vapor, prevent these damages from happening
257,0.2782,liquid,"hazardous situations as it is easy to trip over kick-scooters and/or bicycles , or drive over them with a car . "
258,0.2782,liquid," difficult pouring : when improperly stored at ambient temperature , kegs of draught beer will warm quickly and become difficult to pour in ... "
259,0.2782,liquid, solve multiple problems 
260,0.2782,liquid," a format that can be used to support both data publication and analysis , including "
261,0.2782,liquid, fulfill these requirements by offering three copy services premium features 
262,0.2782,liquid, transcend these challenges 
263,0.2782,liquid, store your capsules easily 
264,0.2782,liquid, data corruption . 
265,0.2782,liquid, manage temporary supply chain disruptions and lng transit times 
266,0.2782,liquid, joint stiffening and swelling and complex skeletal deformities known as dysostosis multiplex . 
267,0.2782,liquid, protect it and makes retrieving it later much easier 
268,0.2782,liquid, a severe suppression in the voltage of the foam positive electrode . 
269,0.2782,liquid, obtain or raise loans by providing collateral security of the goods stored 
270,0.2782,liquid, address renewable energy intermittency 
271,0.2782,liquid, to the 
272,0.2782,liquid," organize hand tools , parts , power tools , etc. "
273,0.2782,liquid," maintain a satisfactory level of service as demand varies with the time of day , to ensure continued service during "
274,0.2782,liquid, address many of the performance issues associated with virtualized data centers 
275,0.2782,liquid, keep coins from degrading in quality or picking up marks or damage 
276,0.2782,liquid, ensure that a configuration item will not disappear or be damaged 
277,0.2782,liquid, ensure uninterrupted recording of mission-critical audio and video 
278,0.2782,liquid, preserve your boat 's finishes 
279,0.2782,liquid, achieve numerous benefits of server virtualization 
280,0.2782,liquid, preserve the quality and nutritional value of the foods you purchase 
281,0.2782,liquid, address this issue 
282,0.2782,liquid, put produces in a suitable environment to maintain the freshness and to extend the duration of its availability 
283,0.2782,liquid," serve as a reservoir to handle constant , sudden or unusually high demands for air/gas that can exceed the capacity of the "
284,0.2782,liquid, sedentism . 
285,0.2782,liquid, ensure a constant supply of needed goods any food or ingredient removed from its 
286,0.2782,liquid, minimize daytime noise pollution 
287,0.2782,liquid," helps to even out fluctuations in market supply , both from one season to the next and from one year to the next , by taking produce off the market in ... "
288,0.2782,liquid, prevent these damages from happening
289,0.2782,it cools,"hazardous situations as it is easy to trip over kick-scooters and/or bicycles , or drive over them with a car . "
290,0.2782,it cools," difficult pouring : when improperly stored at ambient temperature , kegs of draught beer will warm quickly and become difficult to pour in ... "
291,0.2782,it cools, solve multiple problems 
292,0.2782,it cools," a format that can be used to support both data publication and analysis , including "
293,0.2782,it cools, fulfill these requirements by offering three copy services premium features 
294,0.2782,it cools, transcend these challenges 
295,0.2782,it cools, store your capsules easily 
296,0.2782,it cools, data corruption . 
297,0.2782,it cools, manage temporary supply chain disruptions and lng transit times 
298,0.2782,it cools, joint stiffening and swelling and complex skeletal deformities known as dysostosis multiplex . 
299,0.2782,it cools, protect it and makes retrieving it later much easier 
300,0.2782,it cools, a severe suppression in the voltage of the foam positive electrode . 
301,0.2782,it cools, obtain or raise loans by providing collateral security of the goods stored 
302,0.2782,it cools, address renewable energy intermittency 
303,0.2782,it cools, to the 
304,0.2782,it cools," organize hand tools , parts , power tools , etc. "
305,0.2782,it cools," maintain a satisfactory level of service as demand varies with the time of day , to ensure continued service during "
306,0.2782,it cools, address many of the performance issues associated with virtualized data centers 
307,0.2782,it cools, keep coins from degrading in quality or picking up marks or damage 
308,0.2782,it cools, ensure that a configuration item will not disappear or be damaged 
309,0.2782,it cools, ensure uninterrupted recording of mission-critical audio and video 
310,0.2782,it cools, preserve your boat 's finishes 
311,0.2782,it cools, achieve numerous benefits of server virtualization 
312,0.2782,it cools, preserve the quality and nutritional value of the foods you purchase 
313,0.2782,it cools, address this issue 
314,0.2782,it cools, put produces in a suitable environment to maintain the freshness and to extend the duration of its availability 
315,0.2782,it cools," serve as a reservoir to handle constant , sudden or unusually high demands for air/gas that can exceed the capacity of the "
316,0.2782,it cools, sedentism . 
317,0.2782,it cools, ensure a constant supply of needed goods any food or ingredient removed from its 
318,0.2782,it cools, minimize daytime noise pollution 
319,0.2782,it cools," helps to even out fluctuations in market supply , both from one season to the next and from one year to the next , by taking produce off the market in ... "
320,0.2782,it cools, prevent these damages from happening
321,0.1744,vapor,keep the planet 's temperature stable 
322,0.1744,vapor, cooling evaporation 
323,0.1744,vapor, concentrate a non-volatile solute from a solvent by 
324,0.1744,vapor, cooling 2 
325,0.1744,vapor, create weather outdoors 
326,0.1744,vapor, the water 's salt content to increase 
327,0.1744,vapor, contrary to popular belief 
328,0.1744,vapor, helps to ... 
329,0.1744,vapor, forget suboptimal solutions that gathered enough 
330,0.1744,vapor, maintain body temperature 
331,0.1744,vapor, mainly a water deficit
332,0.1744,liquid,keep the planet 's temperature stable 
333,0.1744,liquid, cooling evaporation 
334,0.1744,liquid, concentrate a non-volatile solute from a solvent by 
335,0.1744,liquid, cooling 2 
336,0.1744,liquid, create weather outdoors 
337,0.1744,liquid, the water 's salt content to increase 
338,0.1744,liquid, contrary to popular belief 
339,0.1744,liquid, helps to ... 
340,0.1744,liquid, forget suboptimal solutions that gathered enough 
341,0.1744,liquid, maintain body temperature 
342,0.1744,liquid, mainly a water deficit
343,0.1744,it cools,keep the planet 's temperature stable 
344,0.1744,it cools, cooling evaporation 
345,0.1744,it cools, concentrate a non-volatile solute from a solvent by 
346,0.1744,it cools, cooling 2 
347,0.1744,it cools, create weather outdoors 
348,0.1744,it cools, the water 's salt content to increase 
349,0.1744,it cools, contrary to popular belief 
350,0.1744,it cools, helps to ... 
351,0.1744,it cools, forget suboptimal solutions that gathered enough 
352,0.1744,it cools, maintain body temperature 
353,0.1744,it cools, mainly a water deficit
354,0.0003,chances,fit sensory systems to different environments 
355,0.0003,chances, identify how private engagement in adaptation can be maximized at minimal cost 
356,0.0003,chances, keep the retinal response to 
357,0.0003,chances, the decline of . 
358,0.0003,chances, the input to occur at different levels on the nonlinear curve . 
359,0.0003,chances, explain why happiness is often so hard to come by 
360,0.0003,chances, enable an hta agency in one country -lrb- or region or setting -rrb- to make use of an hta report produced elsewhere 
361,0.0003,chances," all primary lamellar chloride cells to become highly activated and , therefore , only one cell type , mature differentiated "
362,0.0003,chances, rebalance the 
363,0.0003,chances, maintain a high level of response sensitivity under different illuminations -lrb- or contrast -rrb- and stimulus conditions -lrb- contexts -rrb- 
364,0.0003,chances, a shift in the location of minimal spectral saturation toward the spectral locus of the adapting light 
365,0.0003,chances, demonstrate 
366,0.0003,chances," enable an hta agency in one setting to make use of an hta report produced elsewhere , thus saving time and money "
367,0.0003,chances," explain how individuals adapt to stressful , unexpected , and threatening situations "
368,0.0003,chances," fit the needs of a new population , location , language , or mode , or any combination of these -lrb- -lsb- 6 -rsb- -lsb- 7 -rsb- -lsb- 10 -rsb- ; ... "
369,0.0003,chances, guide to spatial adaptation 
370,0.0003,chances, the eye to increase its sensitivity in the dark .
371,0.0004,chances,break up a silhouette by blending a shape 's edges with its surroundings 
372,0.0004,chances, break up the human outline 
373,0.0004,chances, hide the object 's 
374,0.0004,chances," the user to change its type based on the current terrain : normal type in buildings , paved/plain terrain or wi-fi/linked battles . "
375,0.0004,chances, hide you 
376,0.0004,chances, reduce the odds that someone will 
377,0.0004,chances, any moving platoon to stop 
378,0.0004,chances, defeat 
379,0.0004,chances, persuade the enemy
380,0.8922,ice,drown out any little sounds that come from around the house 
381,0.8922,ice, show just how boring the never ending outside zones 
382,0.8922,ice," the weather modifying moves sunny day , rain dance , sandstorm , and hail to fail if used ; and causes the abilities drought , ... "
383,0.8922,ice," bring out the colours in grasses , flowers , buildings etc. "
384,0.8922,ice, provide financial support that will enable researchers to refine and strengthen technologies of promise 
385,0.8922,ice, what causes acid rain to form air pollution causes what gas causes ... 
386,0.8922,ice, street flooding in independence . 
387,0.8922,ice, dangerous weather conditions for travelers . 
388,0.8922,ice, wash pollen out of the air 
389,0.8922,ice, wash out the sap 
390,0.8922,ice, block out any distracing noise 
391,0.8922,ice, block out outside noises and noisy neighbours
392,0.0,ice,millions of dollars in damage each year . 
393,0.0,ice," approximately $ 1 billion in damage annually in the united states to houses , buildings , cars and crops . "
394,0.0,ice, reinforce the relative positions of 
395,0.0,ice," about $ 1 billion dollars in damage to crops and property each year , according to the national oceanic atmospheric administration -lrb- noaa -rrb- . "
396,0.0,ice," stampede at soccer match in nepal on mar 12 , 1988 . "
397,0.0,ice, protect grapes from fungal attacks b -rrb- too much heat can stop the vine from producing sugars 
398,0.0,ice, the tree to fall .
399,0.0002,ice,reflect the sun 's light and heat back to space 
400,0.0002,ice, is to : to strive for improved school nursing services fostering higher standards and increased availability of health services thereby ... 
401,0.0002,ice," create a sense of individual responsibility among nursing students , to deepen insight into nurse-patient relationships , to promote "
402,0.0002,ice, hazardous driving conditions in parts of wales 
403,0.0002,ice, keep the ground temperature even and the early freeze helps to produce some of the best icewine in the united 
404,0.0002,ice, slippery conditions on roadways including dozens of vehicles in a chain-reaction crash on kennedy . 
405,0.0002,ice," destroy the shell , which is advantageous for the germinating seedling "
406,0.0002,ice, uk weather chaos : as it happened . 
407,0.0002,ice, hold scent on the ground 
408,0.0002,ice," keep the plant insulated , as well as keeping the roots of the plant at a constant temperature "
409,0.0002,ice, blend this into the three-dimensional scenery 
410,0.0002,ice," improve the chances of a hunter spotting a deer and by using the wind , the chances of success will be improved "
411,0.0002,ice, pull the old ink out of the marker 
412,0.0002,ice, make the habits of wildlife much more apparent 
413,0.0002,ice, conceal the passage 
414,0.0002,ice, ameliorate 
415,0.0002,ice, chill the air 
416,0.0002,ice, reduce the annual shortage 
417,0.0002,ice," understand perception -lrb- the snows of today , the first canto from grnbein 's novel in verse , on snow"
418,0.25,thing,fit sensory systems to different environments 
419,0.25,thing, identify how private engagement in adaptation can be maximized at minimal cost 
420,0.25,thing, keep the retinal response to 
421,0.25,thing, the decline of . 
422,0.25,thing, the input to occur at different levels on the nonlinear curve . 
423,0.25,thing, explain why happiness is often so hard to come by 
424,0.25,thing, enable an hta agency in one country -lrb- or region or setting -rrb- to make use of an hta report produced elsewhere 
425,0.25,thing," all primary lamellar chloride cells to become highly activated and , therefore , only one cell type , mature differentiated "
426,0.25,thing, rebalance the 
427,0.25,thing, maintain a high level of response sensitivity under different illuminations -lrb- or contrast -rrb- and stimulus conditions -lrb- contexts -rrb- 
428,0.25,thing, a shift in the location of minimal spectral saturation toward the spectral locus of the adapting light 
429,0.25,thing, demonstrate 
430,0.25,thing," enable an hta agency in one setting to make use of an hta report produced elsewhere , thus saving time and money "
431,0.25,thing," explain how individuals adapt to stressful , unexpected , and threatening situations "
432,0.25,thing," fit the needs of a new population , location , language , or mode , or any combination of these -lrb- -lsb- 6 -rsb- -lsb- 7 -rsb- -lsb- 10 -rsb- ; ... "
433,0.25,thing, guide to spatial adaptation 
434,0.25,thing, the eye to increase its sensitivity in the dark .
435,0.0014,thing,break up a silhouette by blending a shape 's edges with its surroundings 
436,0.0014,thing, break up the human outline 
437,0.0014,thing, hide the object 's 
438,0.0014,thing," the user to change its type based on the current terrain : normal type in buildings , paved/plain terrain or wi-fi/linked battles . "
439,0.0014,thing, hide you 
440,0.0014,thing, reduce the odds that someone will 
441,0.0014,thing, any moving platoon to stop 
442,0.0014,thing, defeat 
443,0.0014,thing, persuade the enemy
444,0.036,one,bsod 0x9f and verifier.exe causes bsod 0xc4 
445,0.036,one, conserve energy during winter 
446,0.036,one, lower metabolism 
447,0.036,one, problems with windows and esxi by valarking ... 
448,0.036,one, determine suitable candidates for surgery that can provide improved ejection fraction and other measures of left ventricular 
449,0.036,one, slow down all of the body 's functions in order to 
450,0.036,one, no lasting brain injury and hibernating animals show relatively ... 
451,0.036,one, the animals body temperature and metabolism to slow down and adjust to its surroundings while winter sleepers 
452,0.036,one, avoid the need to completely reboot the windows operating system and to reduce power consumption while 
453,0.036,one, save battery life 
454,0.036,one, maintain the immune system
455,0.036,region,bsod 0x9f and verifier.exe causes bsod 0xc4 
456,0.036,region, conserve energy during winter 
457,0.036,region, lower metabolism 
458,0.036,region, problems with windows and esxi by valarking ... 
459,0.036,region, determine suitable candidates for surgery that can provide improved ejection fraction and other measures of left ventricular 
460,0.036,region, slow down all of the body 's functions in order to 
461,0.036,region, no lasting brain injury and hibernating animals show relatively ... 
462,0.036,region, the animals body temperature and metabolism to slow down and adjust to its surroundings while winter sleepers 
463,0.036,region, avoid the need to completely reboot the windows operating system and to reduce power consumption while 
464,0.036,region, save battery life 
465,0.036,region, maintain the immune system
466,0.5613,one,no lateral redistribution of energy in a region of near-zero velocity 
467,0.5613,one, make it possible for states 
468,0.5613,one, transfer income from those that immigration helps to those that it hurts 
469,0.5613,one, in this area of guatemala 
470,0.5613,one, dissipate local shocks 
471,0.5613,one, provide better assistance to those in need 
472,0.5613,one, showed that scarcity of fertile land in the upper west region and the availability of fertile land in the brong . 
473,0.5613,one," transfer income from those that immigration helps to those that it hurts -lrb- hanson , 2010 -rrb- "
474,0.5613,one, secure your past ttcn-2 investments 
475,0.5613,one, a loss of motile cilia in talpid -lrb- 3 -rrb- ... 
476,0.5613,one," average wage decline of $ 1,700 . "
